Target System	Query	Consistent	Sogou Relevance	Target System Relevance	SBS	SBS Comments	ERR Sogou	ERR Target System	Sogou Page	Target Page
sm	0031:果糖的主要功能	P=M<	0|4|4|4|3	3|2|3|3|0	0	搜狗首位不相关，但整体内容比神马丰富，持平	0.4091	0.5528
sm	0032:上海商学院志愿者服务网	P>M<	4.5|0|2.5|3|3	4.5|0|4.5|3|0	1	神马2死链，5不相关	0.674	0.696
sm	0033:note7国行爆炸	P=M>	4|4|4|3|3	4|3|3|3|3	0	两侧差不多	0.7615	0.7333
sm	0035:申通快递	P=M<	4.5|5|3|2|3.5	5|5|2|2|4	0	两侧差不多	0.7761	0.8873
sm	0039:青岛职业技术学院	P=M>	4.5|3|3|3|3	4.5|2|3|4|3	0	两侧均满足官网主需、百科次需	0.7333	0.7176
sm	0043:我的世界籽岷	P<M>	4|4|3.5|2|2	4.5|2|4|3|4	-1	sm首条便捷	0.7492	0.726
sm	0048:罪恶成魔	P=M>	4|3|3|3|2	3.5|3|3|3|3.5	0	两侧差不多	0.7299	0.6
sm	0049:大乐透	P=M>	4|3.5|2|2|3	4|2|3|3|2	0	两侧差不多	0.7179	0.7065
haosou	0002:49天之同人	P=M>	0|0|0|2|0	0|0|0|0|0	0	搜狗和好搜都不满足需求	0.05	0.0
haosou	0004:广西流浪汉月半小夜曲快手	P>M<	0|4|4|2|4	3|0|0|2|0	2	好搜前五不满足视频需求	0.4034	0.43
haosou	0011:美女图片	P=M<	4.5|3|4|3|4	4.5|4|2|3|4	0	None	0.7445	0.7527
haosou	0019:长江水文网	P=M>	5|2|3|2|0	5|2|2|2|0	0	明确官网需求，首条都给出官网主需手机页，除首条外的结果只要不是垃圾死链无效不相关，SBS打分即为持平	0.8461	0.8371
haosou	0020:梦见失去工作	P>M<	2.5|4|3|4|3	3|3|4|0|4	1	从首屏来看，搜狗略好，且好搜第四条不相关，所以搜狗胜出	0.5176	0.6093
haosou	0023:笃字的拼音	P=M<	4.5|4|3.5|2|2.5	4.5|4|4|2|4	0	搜狗好搜首条均已满足需求，且该查询词无多样性需求，所以持平	0.7492	0.7613
haosou	0024:天气预报济南	P=M<	3|3|4|4|3	4|4|4|3|4	0	主需求为天气，搜狗好搜首条均满足，首屏持平，前五其他结果需求都不高，所以前五也持平	0.6182	0.763
haosou	0030:腾讯电脑管家	P=M<	4|3|3|4|2	4|4|2|3|4	0	None	0.7359	0.7527
haosou	0033:note7国行爆炸	P=M>	4|4|4|3|3	4|3|3|3|3	0	两侧差不多	0.7615	0.7333
haosou	0034:海马s5	P=M>	4.5|4.5|3|3|3	4.5|3.5|3.5|3|3	0	两侧差不多	0.7555	0.7333
haosou	0039:青岛职业技术学院	P=M>	4.5|3|3|3|3	4.5|3|3|2|0	0	两侧均满足官网主需、百科次需	0.7333	0.7192
haosou	0042:韩剧步步惊心丽	P>M=	4.5|3|3|2|3	4.5|3|3|2|3	1	两侧都满足视频主需，视频周边需求多样性上搜狗胜出	0.7284	0.7284
haosou	0043:我的世界籽岷	P<M>	4|4|3.5|2|2	4.5|3|3|2|3	-1	好搜首条便捷	0.7492	0.7284
